CAN_ID,Timestamp,bit1,bit2,bit3,bit4,bit5,bit6,bit7,bit8
1574,16776693,1,0,0,0,0,0,0,0
1894,16776693,0,0,0,0,0,0,0,0
1638,16776692,FF,0,0,0,0,0,0,0
1574,16776691,1,0,0,0,0,0,0,0
1894,16776691,0,0,0,0,0,0,0,0
1574,16776690,1,0,0,0,0,0,0,0
1894,16776690,0,0,0,0,0,0,0,0
1574,16776689,1,0,0,0,0,0,0,0
1894,16776689,0,0,0,0,0,0,0,0
1574,16776688,1,0,0,0,0,0,0,0
1638,16776688,FF,0,0,0,0,0,0,0
1894,16776687,0,0,0,0,0,0,0,0
1574,16776687,1,0,0,0,0,0,0,0
1894,16776686,0,0,0,0,0,0,0,0
1574,16776686,1,0,0,0,0,0,0,0
1894,16776685,0,0,0,0,0,0,0,0
1574,16776684,1,0,0,0,0,0,0,0
1894,16776684,0,0,0,0,0,0,0,0
1638,16776684,FF,0,0,0,0,0,0,0
1574,16776683,1,0,0,0,0,0,0,0
1894,16776683,0,0,0,0,0,0,0,0
1574,16776682,1,0,0,0,0,0,0,0
1894,16776682,0,0,0,0,0,0,0,0
1574,16776681,1,0,0,0,0,0,0,0
1894,16776681,0,0,0,0,0,0,0,0
1638,16776680,FF,0,0,0,0,0,0,0
1574,16776680,1,0,0,0,0,0,0,0
1894,16776679,0,0,0,0,0,0,0,0
1574,16776679,1,0,0,0,0,0,0,0
1894,16776678,0,0,0,0,0,0,0,0
512,16776678,0,0,0,0,0,0,0,0
513,16776677,0,0,0,0,0,0,0,0
512,16776677,0,0,0,0,0,0,0,0
513,16776677,0,0,0,0,0,0,0,0
512,16776677,0,0,0,0,0,0,0,0
1574,16776676,1,0,0,0,0,0,0,0
1894,16776676,0,0,0,0,0,0,0,0
1574,16776676,1,0,0,0,0,0,0,0
1894,16776676,0,0,0,0,0,0,0,0
1638,16776675,FF,0,0,0,0,0,0,0
1574,16776675,1,0,0,0,0,0,0,0
1894,16776674,0,0,0,0,0,0,0,0
1574,16776674,1,0,0,0,0,0,0,0
1894,16776673,0,0,0,0,0,0,0,0
1574,16776672,1,0,0,0,0,0,0,0
1894,16776672,0,0,0,0,0,0,0,0
